clean_content,sentimen
mudah urus good driver kalo bsa kantor jgn gede ambil potong driver ngotak dikit cok,positif
bagus,positif
bantu tolong promo diskon yaaa hehehe,positif
bertahuntahun pake gojek akhirakhir drivernya bobrok udah kalo jemput ghosting aneh gatau salah driver emang servernya,negatif
good,positif
mudah,positif
bagus,positif
order bubur jam jam blm dateng deket gimana sih sistem gojek tanggung keburu pinsan orang makan,negatif
motor online,positif
tarif mahal,negatif
fitur auto order pilih lokasi tuju nyaman rugi mitra gojek,negatif
duuhh gojek tolong klo ngasi driver jgn yg jauhknp gk yg dekat aja yg kasi order bikin ruwet aja tau nungguin driver dtg ngambil paket drpd kirimnyakasian tu drivernya klo jauh ngambil ongkos seberapatolong baik sistem jgn bikin repoootttt hi gojek kalo driver nelp customer knp gk terima telpnya adu domba yaa customer driver,negatif
senang layan gocar aplikasi gojek yg ramah grab,positif
keren,positif
bagus,positif
cepat mudah bantu,positif
ok,positif
map error lokasi deteksi akurat ngga,negatif
best is the best,positif
klu sdh langgan jenis opsi apa harga hemat promo jgn rang ganti yg mahal biarpun orang tarik pakai apps krn harga yg jangkau mudah klu sdh jd langgan ya jgn naik harga promo yg tarik krn murah mudah,netral
eror driver nolak sy bilang aplikasi banyak pencet,negatif
golek bantu mana,positif
ok,positif
bantu,positif
guna,positif
gooooddd,positif
gojek simple makan tinggal pilih anter,positif
sgt bantu,positif
bantu sukses moga tingkat mutu layan,positif
sopir mitra gojek daerah karawang etika sopan cash nambah luar sepakat kali sopir mitra oknum yg bikin jelek citra usaha cut aja yg butuh kerja mitra gojek,netral
kesini mahal anjir gue pindaj yg aja maaf udh make gak bonus ngeriii,negatif
terima kasih,positif
tolong oy admin gopaysaya top up gopay brilink history transaksi nya udh sukses saldo masuk akun gopay udh hubung cs nunggu nya duit org nitip obat sulit sih tolong baik,negatif
kemudi gokar yg fim taxi biar cepat,positif
cepat kurir nya sopan,positif
oke,positif
buruk,negatif
ok banget,positif
layan goride antar titik bandara terminal stasiun travelan sekolah alangkah baik order menang driver dekat titik jemput maksimal km an saat jemput langgan mengcancel order performa driver turun maaf terima kasih,positif
bagus,positif
oke,negatif
good,positif
baik tiap jalan,positif
good dah,positif
mantap pis,positif
beli gojekplus kadaluarsa potong diskon beli gojek plus biar gratis ongkir eh besok voucher hilang beli gojek plus diskon kaya dll trik aja beli gojek plus eh ga promo kecuali beli minimal rb aing kulkas nyimpen makan beli auto basi pekan depan telah habis pakai voucher ga,negatif
pakai gojek lumayan lamasmoga layan gojek gocar kemudi ny ramah yatdk buru kendara,positif
bantu,positif
ga login top up pake gopay,negatif
lot,negatif
udah gak pake paylater jajan wkwkkw pindah si orange ahhh,negatif
map aneh map nya meleset titik,negatif
limit paylater blokir ga telat bayar tagih bayar tgl jatuh tempo aneh,negatif
bagus,positif
top,positif
udah ga d google maps ya kalo temen ngasih lokasi ga d langsung masuk gojek normal langsung gmaps tanya kalo lokasi nya ga kenal matokinnya gimana gua bintang kualitas jasa gojek drop anjlok fasilitas vital gin hilang jd nyusahin,negatif
menbantu,positif
good life with gojek,positif
sistem eror kh,negatif
aplikasi nya udh bagus kasih bintang ya promo nya kasih bintang,positif
puas,positif
pending top up saldo tdk jasa food payah jelek,negatif
login akun ganti hp muncul suruh instal ulang gojek kali langkah sy laku ttp tdk bs telfon cs email smpai pulsa sedot uang gopay ga bs ambil sy pake gojek dr trakhir sy hilang uang gopay,negatif
bantu,positif
aplikasih ane isi nomor kontak darurat nomor sdh bnar kstanya valid,negatif
mantab,positif
titik bayar gojek samperin jalan banget ga macet habis bensin,negatif
ongkir nya mahal tanyak driver driver nya minim kacau ni aplikasi gojek ambil ongkir mahal custamer driver murah,negatif
oke,positif
good,positif
nyaman saat butuh rumah sakit gak mesti mobil tinggal sen gocar ajah murah,positif
mantapberguna banget,positif
thn pakai aplikasi bantu,positif
mantap,positif
gojek jelek semenjak pegang tiktok,negatif
gojek bangkrut karna limit pay later tau tau hilang skr susah tokopedia,positif
nambahin titik alamat rumah susah,netral
sukaa siehh diskon nya banyakin ojek nyaa anak sekolah soalnyaa rumah ku,positif
bantu,positif
ok,positif
bagus banget sen makananbuat introvert,positif
please adain mode hening biar driver yg ganggu tumpang curhatannya yg gak diem gak ganggu lg,positif
depan,positif
nyaman,positif
mantap,positif
tolong gojek perhati inikrna pengaruh pd usaha yg alami kena mitra gojek yg nangkring sarinah yg dengar suara orang ojo mitra gojek yg minim attitude sembarang ngomen orang yg sengaja suara nyaring remeh random dsb pd ketidakpedulian letak attitude jelek ganggu orang,positif
bagus,positif
good job,positif
bagus lanjuk,positif
toppup gopay hasil tp saldo gopay tdk tambah hubung cs bilang nya harilama gak jelas,positif
bantu d kluar kota tahan aplikasi lot,positif
sdh jarak rb bersih driver trimakasih,positif
pakai gojekgopay sulit kesini aneh aja niat top up beli makan nunggu kesini anehh,negatif
aplikasi terima ram,positif
cimta ngt sma gofood,positif
versi parah order sendri,negatif
bantu voucher nya,positif
udah langgan gojek dr thn,positif
mantap,positif
gojek mantaapp,positif
nyaman,positif
aplikasi transportasi bagus promo jarang harga argo mahal dll jelek pokok,negatif
bantu yg perlu,positif
ok,positif
manfaat,positif
puas,positif
kendala susah,negatif
solusi mager,positif
ok sip,positif
pakai gojek,positif
mahal skrg diskon discount tp harga naikin aja bohong,negatif
unit cepat ngak pakai,positif
cing loba promo na,positif
ntaaap,positif
gopay curi saldo,negatif
oke,positif
oke,positif
bagus,positif
senang gojek kemudi nya ramah bersih tolong beda kereta bk aplikasih tolong tindak lanjut,positif
bagus,positif
time to uninstall this app back to taxi konvensional aplikasi maen kemudi maen x direject x ngereject krn mobil gak jalan jam disuru nunggu mobil yg cmn tidur doang,negatif
berangkat skolah upacara susah bgt pdhl udh bgt gitu driver nya pick up nominal aj yg pick up banyak lokasi ga sesuai lokasi driver maps lokasi driver jl a tpi si driver jl g jauh ga ngotak customer udh nyediain sabar nunggu tpi ya nama trs jalan ujung buru buru meng hrs driver ngebut banyak driver ngeluh ga buru buru baik,negatif
ud beli voucher mahal gocar nysama aj dg hrg ny mahal ud beli voucher nyklo panggil gocar lbh parah lgga ad gocar klo pagi harilambat lg klo pagitlg baik lg,negatif
very good,positif
aplikasi bantu,positif
maps aplikasi gojek butuh baik cepat lokasi maps update lokasi,netral
rute map nya ngambil min rute simpel bikin muter,netral
gps driver tolong benerin gw mesen gojek salah jalan mulu drivernya,negatif
oke sih tpi aplikasi kadang kalo mesen toi,netral
keren,positif
setia gojek,positif
good aplication,positif
enak,positif
layan sistem gojek,negatif
ok,positif
pakai driver gojek cansel tampa alas yv buang,negatif
muas,positif
sukses,positif
aplikasi mudah pakai driver ramah,positif
mantul,positif
login server padat sibuk,positif
aplikasi percaya mudah harga ekonomis,positif
oke banget,positif
bnyak promo,positif
drivernya kesini susah cari andai udh dpt chat ga bales udah tungguin cancel,negatif
mohon fitur mesan sengaja cari driver sengaja,netral
respon cepat harga murah jangkau,positif
baik suka suka,positif
sopan ramah approve pokok maju teruss,positif
gila kali gua sen pakai tunai aja mahal bgt gua udah nyoba pakai gopai ga acc mulu sumpah capek bener ini lapar emosiiii,negatif
keren,netral
keren,positif
uang makan driver notifnya lambat masuk lapor sayang bilang lapor mlewati,negatif
cepat,positif
mantap,positif
abang nya ramah,positif
mantap,positif
mantab,positif
gila aplikasigo pay later alas score kredit sesuaisedangkan pakai lambat pembayaransekalian aja bayar kemaren tau reaksi tim cs cari tunggu geram blokir,negatif
mmtap,positif
manthullll,positif
ok,positif
bintang capek driver pesan food pintu nomor alamat aplikasi lengkap ya yg antar kacau pegang hp repot tolong tolong perhati ya kakak admin mohon bantu terimakasih,positif
cacad bgt sih mesenin org gbs kirim gambar dr galery gak efisien bgt,negatif
serius neh minbyk yg blg ko mahal bgt kl lwt aplikasi sya teranginiya da pajaknyakn smp ga sya mahalin dr pd rugi sbagian lbh mreka pd psn lwt japriwa ko skrg masukin pin hrs titik dluenk dlu msh jg bs masukin pinbyk driver yg dobel aplikasiksihan mreka tlg evaluasi min,positif
bgt nyari driver,negatif
godd good,positif
ok,positif
bagus,positif
on time,positif
males banget jam nunggu makan nunggu driver mati lapar jam suru nunggu really,negatif
gojek benerin fiturnye gue blom milih lokasi udah order otomatis gimana sih labrak gojek gue cancel galak bgt,negatif
apik,positif
enak males rumah tinggal sen gojek,positif
x topup via atm saldo bank potong saldo gopay aplikasi gk masuk tolong benah sistem user rugi,negatif
mantap,positif
maksa apk layan gofood gk mesan tekan utk pesan yaa gk beli batal pesan pesan risih karna,netral
keren,positif
mahal diskon perak,negatif
hemat rp,positif
ratus meter ganti drever otomatis nambah nambah nunggunya payah ga becus,negatif
mantap,positif
bantu,positif
sistim buka bantu driver menyusahkanjarak geser diresto bisapadahal resto lumayan jauhhujan tinggal pake jas hujan cancel sistempadahal dekat resto ga pemberitahuan yg bikin aplikasi orang pintertapi zonkga pemberitahuan klo sistem barukopdar zoom adabener bang adi napitupulugojek biadab,negatif
pliss dehh bb berat kasih kemudi motor yg gigi ngeri bb berat,negatif
mantab moga senantiasa sejahtera mitra driver,positif
ramah,positif
lokasi tuju jemput harap ambil google maps akurat,positif
kapok pake gojek maaf ganti ratingnya kali kecewa banget item gofood makann habis direspon foto lengkap foto lengkap nota sekian aja,negatif
bagus,positif
bagus sopan sopan,positif
pas cari driver langsung,positif
mantab bantu mudah urus,positif
paylater nya dah ga bayar goride doang,negatif
driver nya kolot,negatif
terima kasih,positif
ok,positif
senang ramah sahabat,positif
bangga,positif
diskon diskon rb,negatif
bagus on time,positif
aplikasi guna klo ga yg nganter,positif
bantu transportasi,positif
langgan bayar ongkos ribu si terima driver,netral
pas darurat andal,positif
bantu terimakasih,positif
udh mahal dibandingin ojek online,netral
driver sepele langgan desak batal,negatif
mantab,positif
upgrade,positif
kali kecewa pake gojek ongkos grab tera bayar ongkos grab k driver kembali uang kembali nya,netral
ok,positif
mohon map baki akurat akibat salah gps biaya bayar tp driver tambah biaya salah titik,negatif
sdh gojek setia layan tani jalan terima kasih,positif
gopay paylater blokir telat bayar kali,positif
mahal bet cook pakai reguler hadehhh mah orang sultan,negatif
aplikasi rugi customer kali mesan batal duit direfund cek riwayat mbanking potong,negatif
mohon sempurna fitur nya mudah customer,positif
bayar gopay saldo isi bayar,negatif
halo kak info kalo versi aplikasi gofood nya konsumen ga pake voucher resto sedia ya klik pesan gaada kolom voucher tolong baik ya kak terimakasih tunggu updatenya,positif
bagus,positif
driver ok,positif
layan nya oke,positif
mantab,positif
pilih rute baiktau jalan,positif
pke gopay udah taun bagiyan daftar plester nya g mulu aplikasi g udah pke gopay mahal g guna gila ajah d tolok kapok gw pake aplikasi gopay enak pake dana peyleter nya g susah daftar nya gopay udah potong tranper y gede d daftar peyleter nya susah mati aplikasi g,negatif
alhamdulillah moga yg baik customer drivernya,positif
driver cencel kadang bayar cancel nya gak kali order gocar kalo pagi daerah kulon progo kecewa berat gojek,negatif
bagus banget,positif
mantap,positif
driver nya hujan hujan redah ambil nya lekas resto kena macet tercancel sistemapa dobel order resto siapin ambil driver nya customore nunggu nya bayar rb driver masuk doang mangkak jasa layan driver buruk gojek bayar ongkir nya masuk driver cuman segitu sungguh kejam orang cina,negatif
ok,positif
tarif mahal,negatif
kumpul koin tujuh dapet koin koin kl ga ngasih koin ya tampil nya uda kl chat cs aplikasi pilih akun beku ubah informasi akun pilih bicara cs nyakl klik salah dr pilih akun dibekukanubah informasi akun jawab dr cs gojek template ga mengijinkan guna jelas,negatif
bantu,positif
alhamdulillah solusi cepat cari kendara,positif
aduh bener aja dapet driver jarak km,netral
tranportasi online aman cepat,positif
jelek mahal harga gak stabil pake aplikasi pakai grab aja,negatif
bagus,positif
puas,positif
pesan gojek sepeda motor hadir ojek wanita batal alas mukhrim,netral
payah,positif
niat ken nyaman kagak,negatif
argo motor orang rb mobil orang ngk otak yg yg bikin tarif kasihan driver mobil,negatif
kendara mohon tampil nama kendara nya grab plat nomor nya,netral
tolong motor yabg masuk kategori goride comfort motor emang motor pcx nmax jenis aja jadi celaka ringan agustus ban motor slip jalan motor jenis vario motor pesan goride comfort tubuh big size motor sihhhhhhhh,netral
banyak update oy ampir minggu update,negatif
gak pake gofd coba sen makan jam menit coba dicancel bisadisuruh nunggu sesuai yg sedia dpt driver jam jam nunggu cari driveriya klo posisi kerja standby tempatkalau kerja yg pindah iya nunggu makan sampe jamditinggal kasihan resto drivernyag tinggal kerja yg jd korbanpayaahkapok bos,negatif
akun gw blok,negatif
gocar skarang kaya gin emang masuk jln tol bayar pr kilo mahal banget kecewa main driver nya gimana kecewa,negatif
baik,positif
apk pendo gjls gofoodnya,negatif
driver gojek the best,positif
batu nya gojekpengiriman cepat,positif
gojek bagus,positif
udah titik muak ama gopay transaksi mesti aja kendala nya aktifitas curiga gak ngapa ngapain proses kece nya email banget gak beles balesw,negatif
mantap,positif
mudah klo pergi transaksi jg mudah,positif
apk bagus bantu perlu hari,positif
mudah urus orang,positif
ok,positif
aplikasi kenal loh kelas gojek tp adminnya tagih ancam habis keluarga wkwk telat h tanggal bayar sampe segitunya ya gojek hati pake gopay pinjam paylater aplikasi gojek kaget yaa aplikasi gojek lewat,negatif
bagus cepat tanggap,positif
ribet kalo kirim barang gak kirim nomer hp chatnya,negatif
kali pesan cuaca hujan pesan gofood oke hujan driver pesan gantung tunggu driver jam tunggu konfirmasi harap aplikasi baik selesai hujan sulit mesan kasi orang nunggu makan lapar sulit batal pesan lanjur,negatif
order makan magrib sampe gak dapetdapet driver udah nya gak batalin aneh suruh nungguin sampe dapet driver mending jalan sndri gak sampe jam nunggu,negatif
mantap kualitas oke cepat top buroq,positif
suka lambat instan,negatif
krim paket lamaaaaaaa tdk driver payah,negatif
mksh sy puas bngt playann driver ny,positif
akun hapus tunggu tunggu jam hapus,negatif
kecewa driver gojek udh gk demen ribu nunggu menittt gk dapet apaapa,negatif
ko ya kesini ga ya kirim paket suru nunggu menit bgtu nunggu menit yg instan susah nya ampun bayar loh customer layan yg jg yg slalu ngertiin mau aplikasi terima kasih,negatif
klo sen gojek motor bgt udh gitu ganti otomatis kya ga butuh duit driver gojek udh kali abis ganti otomatis trs dpt driver lg aja responnya ujung ganti lg cape bgt,negatif
gojek rider harga murah ramah kantong servis ok,positif
gojek go ride gk gara gara gojek solat solat nya lambat khoqo gojek akherat tanggung amal gara gara tinggal terimakasih,negatif
mantap,positif
yamaha depan gojek gasspoll,positif
parah tau logout tau suspend gw mah kamsia kl kaga bayar paylaternya rajin bayar limit tau suspend,positif
bantu halang antar jemput anak sekolah alhamdulillah driver sabar,positif
the best,positif
good,positif
dpt drivernya bgt jarak deket gmn si,negatif
gw pake gojek nyari driver gofood telat fatal yg terkahir kali gofoodnya bnget goodby gojek,negatif
aplikasi jelek mentingin laba aj nyusahin customertiap hujan susah cari driver,negatif
kreasi amak bangsa gitu loh,positif
mudah,positif
sedia jasa layan layan buruk ngasih driver jarak nya banget deket,negatif
parahhhh hujan harga bnget nyari driver susah blum drama driver drop tumpang gojek motor gak yg nerima huja reda harga gak ngotak layan lambat,negatif
cari driver hujan,negatif
dapet driver ga bener chat ga bales udah nunggu ga nyampe nyampe,negatif
mantap,positif
kalo ujan ngapa susah bt si ambil nya mager gimana,negatif
pokok mantap promo,positif
customer servisnyabad,negatif
terima kasih bantu,positif
tifak menrima akses,positif
gocar skrg pd ga butuh uang ya suka bgt tbtb cancel,positif
bantu,positif
heran banget aplikasi cuman gerimis susah banget dapet drivernya suruh aktifin cair cepat gaada hasil,negatif
gojeg layan ngak banget order gocar xl ber ya walpun ber biar lega e e e e dateng karimun bngt desekan trus beda go car xl yg pdhl tulis berpa orang ongkos nya mahal yg xl pdhl trus sen co gar xl pese eehh drivernya dichat berpa orang yaa kak pdhl siap berpa orang go car yg xl bikin kapo,negatif
pesan hujan,negatif
tolong baik manejemen promo program biar customer gojek customer udah lari orange aplikasi malaysia promo unggul maksimal biar narik customer maksimal utama,positif
lgi pke aplikasi bener rugi kalo download promo jg gada lg top up gopay x tp ternyta pas fi cek ga msuk pdahal mbanking cantum sukses dg no yg dimsukkan lapor cs ga tanggap dg layan tawar utk gopinjam klik iseng data mu curi,negatif
masuk aja ngasi driver tuh dekatdekat aja ngasi driver jarak jemput jarak ngantarnya jauh kasihan drivernya kali,netral
kalo ujan ga yg ambil,negatif
love bgt mana tp motor motor nya bagus lupa nama susah yg ekonomi plsss,positif
gk kendala,positif
pakai gojek nyaman aman mudah gojek harap tingkat best gojek,positif
mantappp,positif
tindak daftar akun cs gojek rugi driver bebas daftar akun daftar pesan disalahgunakan order fiktif tipu aplikasi ga ubah rugi,negatif
bagus,positif
mantap,positif
kesini tik jemput ngk yg ngk,negatif
sulit mesan luar wilayah alamat temu,positif
aplikasi ras yg jd driver kristen phobia nya bnyk yg tdk anterin mknn,negatif
cocok pulang pergi sekolah,positif
bagus,positif
aplikasi jelek nga,positif
cepat murah pergi k ajh,positif
oke lahh mantap layan,positif
ontime,positif
oke,positif
mantap,positif
muas pakak gojek,positif
harga mahal mending kesana kesini pake motor aja,negatif
bantu hari,positif
bsgus,positif
oke,positif
admin abis upgrad ga masuk,negatif
ok,netral
mudah bantu,positif
susah dpet driver psen gofood udh,positif
ok,positif
driver nya pilihpilih order,negatif
the best,positif
okey gojek,positif
ok u draver nya,positif
bagus,positif
gak,negatif
semangat,positif
sistem bobrok dicancel langgan aja akun budeg jam mikirotak pake,negatif
bantu,positif
tolong hati utk go ride mw jarak deket klw ambill semuagiliran jarak deket order driver sibuk semuagiliran jarak rebutin,positif
bagus,positif
baik uda pkek gojek th an,positif
mantap,positif
baik,positif
drivernya ok,positif
mantap d tingkat,positif
aman nyaman,positif
tarif aja drivernya jarang jemput ngambil rute udah kasih tau rute cepat,netral
gk d download,negatif
lokasi akurat,negatif
good,positif
guna,positif
pulang kerja capek dapet driver yg ga gerak posisi nya ga info dpet voucher kalo gocar lambat broo mobil gak gerak kalo telat ga yg drivernya diem gak kabar,negatif
neng bgt dapet diskon sayang mapsnya pas,positif
aplikator ga sen go food udah jam ga info driver merchant ga terima order aplikasi suruh nunggu ga cancel telpon call center kasih nada tunggu sampe menit aplikator tolol,negatif
order gofood harga nya fanatastis harga menu rb biayaya tangan sampe rb yg pdhal driver nya gk dpet sgtu bayar skitar rb yg sampe driver rb miris,negatif
aplikasi bantu antar makan ojek dll sungguh prihatin driver nya aneh aneh,positif
pakai gopaynya guystingkat aman gopay buruk hack dibeliin pulsa top up games mending cari aps naruh duit dasar nyata yg alami hack saldo gopay gak ganti omon omon doang,negatif
praktis n hemat,positif
mantap aplikasi guna mudah langgan pergi antar langgan mana pesan gofood paket barang driver ojek nya ramah opsional aman atribut gojek cepat bersih,positif
your the best,positif
terimakasih layan,positif
ringan mudah urus,positif
yg stasiun harga murah model input kode input php doang,negatif
mantap,positif
amanah,positif
aplikasi yg guna manfaat bantu roda ekonomi masyarakat antar jemput tumpang harap gojek mensupport manusia driver banyakin promo hehehehe terimakasih gojek,positif
good,positif
ok,positif
cocok mudah jalan,positif
dapetin driver nya susah bgt sih pas go food,positif
keren,positif
serba,positif
beli makan beli baju fashion gitu gak sih huhu,positif
mantul mintul,positif
udah cocok aplikasi iniga ribetsimple utk mesan apa,positif
jarang voucher gofood,negatif
sedot pake gojek plus tetep aja dapet driver cepet namba k,negatif
promo,positif
mantap,positif
pake gojek aman murah pasti jemput langsung rumah makas gojek,positif
dapet supir sabar jalan macet bangett looh,positif
banyakin voucher diskon ngga cm pake gopayz tunai qriss,positif
mesen doang sekali dapet cancel kocagg,netral
awesome,positif
layan cepat ramah,positif
layan,positif
cuaca panas panasnyamager nyari makan d luargofoodin aj,positif
driver nya gaada yg nyantol sayasaya sen gojek dicancel,negatif
aman aplikasi jamin aman lapor gojek kesini bahaya selamat guna alangkah baik cipta mode blokir,negatif
bantu,positif
bantu,positif
baik,positif
bagus,positif
puas,positif
rame banget ketemu drivernya,negatif
bagus,positif
ss tuh chat yg nyuruh nagih hutang k orang yg gak tau risih,negatif
kali dibatalin pesan gosend,negatif
lot,negatif
driver cepat pakai mahaalll,positif
mudah,positif
bantu jemput anak sekolah,positif
mantap,positif
orgnya,positif
kesel driver gojek banyak area gojek kaya malas kerja udah order nungguin ampe batas estimasi ga gerak gerak driver banyak drivernya banyak picky address gtu area masuk gang gak jemput,negatif
bagus nykita susah batalin orderanketika tunggu driver duli tunggu jam driverkita paksa tunggu lapor cs percumahanya mesin menu pesan cepat orang lapar woiii udah jam gw nunggu batalin susah,netral
ok,positif
pakai setia aplikasi,positif
bantu,positif
coba,positif
good,positif
ok mantap mantap,positif
bantu gojek mantap,positif
sikap yg ramah,positif
tranportasi yg mudah efisien,positif
the best,positif
bantu,positif
ga trllu nunggu jemput cpt smpai tuju pokok gojek enak drive nya bawa kendara enk santai tp mantap,positif
bantu,positif
bantu,positif
konyol,negatif
bantu,positif
dpt driver nya mulu,negatif
gojek plus ga,negatif
sayaa kecewasaldo pending tgl agustus smpai skrng tgl chat customer service gada respon makan uang masyarakat,negatif
gojek keren banget batu yg kerja pulang pergi,positif
cepat aman,positif
gojek hebaat,positif
oke,positif
bantu pergi gocar goride,positif
akun perkembangannamun verifikasi panggil aktif akungimana ni,positif
help me a lot,positif
baguss,positif
bagus banget aplikasi nya,positif
baik,positif
susah banget dapet driver tunggu jam sore jam sore baik driver,negatif
mantapdrivernya makasih,positif
pesan gojek instant aja pickupnya banget jam jam,negatif
udh ga pake sekali pake jd rugi salah jg pesan gocar tp udh dapet apk tp lupa matiin yg gocar drivernya udh nyampe rumah trs uang ganti rugi harga jalan udh ga butuh transport tp orang gamau dibatalin rugi deh,negatif
bagus,positif
enak,positif
ok,positif
terkadang jarang voucher,netral
klo hujan susah cari kendara lambat pergi kerja,netral
membabtu,positif
bantu,positif
bagus,positif
gofoodnya mahal mahal bos ongkir gak ngotak,negatif
bnyak promo nya hemat,positif
bagus,positif
good,positif
ongkir makan gila bangetsaran coba harga turunin,netral
gojek mana aja cepat pesan makan belanja praktis nya gojek buru donwload aplikasi gojek biar mana cepat mudah,positif
top up saldo gk masuk aplikasi sampah,negatif
ok tempat,positif
pt gojek mangkin atur driver nya pakai sistem area ongkir nyiksa driver nya biar costamer tau ongkir gofood wajar gopay costamer ganggu akal pt gojek promo costamer saldo costamer sedot gopay nya biar costamer binggung sistem eror,negatif
nyesel download gojek gopay akun blokloe pikir cari uang rbu gampang dasar maling duit rakyat tuh gopay,negatif
mantap,positif
gojek stres sen makan pas apes pencet gabisa batalin,negatif
mantap,positif
user frendly,negatif
apk ga driver banyak ga niat alas posisi driver ga gerak ga akurat,negatif
aplikasi rusak nyari mobil g dpt dpt,negatif
juoss,positif
muas,positif
dar,positif
hujan antar,positif
terimakasih tanggap ulas cepat tangan baik moga ulang jadi akun pakai aktivitas curiga salam aspal,positif
mantap,positif
mudah opsi lapar mobil motor,positif
gojek bantu,positif
baik,positif
yaoke,positif
deh pesan pesan gak mahal cancel udah gitu sen gofood nunggu jam ujung nya cancel alas dirver sibuk gak niat gak jengkel kesel pollll z,negatif
beli obat butuh order gomart tunggu jam pesan batal knapa knapa tdk dr batal opsi toko langsung skr batal sdh malam,negatif
bagus cuman tolong aplikasi driver tolong d baik alam,positif
dah booking k gak satu driver ambil gitu ngapain fitur hemat,negatif
aplikasi buka coba kali uninstal ttp ga buka aplikasi,positif
gak ribet,positif
aplikasi orng kena tipu bikin susah niat ngelapor pake ig yg bot system hadeh gin gojek,negatif
baik,positif
the best,positif
mantap,positif
keren,positif
bagus,positif
layan ok,positif
mantap cpt dn,positif
aju gopay pinjam tolak beli seragam sekolah anak coba tunggu coba acc,negatif
kecewa aplikasi pesan gocar yg terima jalan supirnya bilang cancel alas jauh mohon goto bijak supir rugi guna rela tunggu jalan dicancel,negatif
banget dapet drivernya kali kali sen makan aja jam,negatif
aplikasi guna gaada daftar,negatif
bagus pls kasi acc ku promo,positif
cht yh gk,negatif
bagus bgt,positif
driver gocar yg ambil order,negatif
mntap,positif
gak bs download woii gojek,negatif
bantu,positif
bagus,positif
trmksh ya,positif
beli outlet langsung gofood cepet beli outlet langsung masaa pdhl posisi nya order go food rumah nunggu gofood j beli langsung mnt an doangg hadehh,negatif
puas,positif
bikin gampang kalo mana,positif
urus goopood mitra nya arah jaman bnyk resto yg sedia plastikharap mitra goodpood sedia kresek,positif
puas layan aplikasi,positif
mantapp bismillah,positif
mantap,positif
batalin cari driver aja gak fitur lengkap,negatif
makasih layan barokalloh,positif
harga diskon dongggg,positif
bagus,positif
apasih nih gojek gak banget meng akses voucher makan gara gara salah guna voucher tindak aneh beli gojek plus karna emang beli makan pakai voucher gojek gojek nyusahin orang aja tutup ngk adain kirim makan blokkkkkkkk,negatif
bantu,positif
ok bagus,positif
okee bngt sen makan cepet bngt,positif
guna antar jemput sekolah,positif
ok,positif
bagus bgtt,positif
nice,positif
semenjak aplikasi gojek ngecrash iring jalan harap moga kasih diskon ya jalan,netral
mantap mudah,positif
aplikasi bagus rekomend,positif
udah jam ga driver makan udah ready inj apk rusak gimana,negatif
cepat mudah,positif
gabbisa download,netral
tolong lapar malas rumah,positif
okkk,positif
iklan,negatif
aplikasi digunakansudah updateuninstall gk memori kosong,negatif
layan bagus,positif
bantu banget aplnya,positif
ok,positif
gua gopay k tibatiba k ga beli pas liat beli gak membership balikin duit gw,negatif
aplikasi tau kaga kesi drivernya,negatif
the bes gojek,positif
susah aja order sdh pilih prioritas harga mahal hrua tambah biar kn sdh gitu g dpt lg driver ny bobrok banget banget system ny tibat pakai aplikasi,negatif
bantu,positif
pesan gofood udah nunggu jam tbtb cancel konfrimasi apa,negatif
update,positif
bener arahin alamtnya gojek kasihan drivernya konsumen ngechat jelasin berkalikali deiver alamat sesuai map nya sesuai,negatif
cpt aman,positif
mantap,positif
gojek harga gofood ny gila banget mahal ongkir gofood bikin shock banget lhooo gak order makan minum cancel langsung maaf mehong,negatif
turut ongkir sen makan nya mahal sih,negatif
ga titik jemput sampe km,negatif
orang ramah enak ajak ngobrol,positif
mantap cepet aman,positif
bagus,positif
batu sewktu butuh,positif
sengaja kasih bintang komplainini aplikasi gojek yg chat aplikasi langsungtiba ancam sebar data foto mempermalukanmaksudnya pinjam paylater paypinjam tolong dijawabsaya screenshot buktinyano tlpn isi ancam chat resmi aplikasi gojek langsung via whatsapp tolong responnya,positif
bagus,positif
bantu terimakasih,positif
ramah cuek,positif
hp realme note ram gb download apk gojek ga internet stabil,negatif
ac mobil gk dinginpas siang mlmharusnya dinginknseblm penumpng masuk,negatif
mantaff,positif
best app like angel in urgent situation,positif
titik jemput ubah titik pesan,netral
terimakasih,positif
cepat respon layan,positif
suka salah alamat bikin bingung,positif
aplikasi serba tuk tuju tuk bayar mudah segalanyaok,positif
bantu,positif
mantap,positif
mantul,positif
ok mantap,positif
andal bot aplikasi gembel cs nya suruh tidur aja biar robot yg kerja,negatif
oke,positif
gojek kecewasetiap pesan gofood udah nunggu ujung gak driversangat kecewa,negatif
good,positif
pasti fitur tentu alamat otomatis tgl jam sore kantor mesen makan rumah alamat gak ubah pakai alamat masukin aplikasi jam malem udah rumah mesen makan alamat ubah alamat kantor otomatis liat lokasi hp udah rumah jam malam ah elah kasi drivernya tuh bayar udah kagak orang jam malem gak rubah alamat,negatif
aplikasi kaya raya harga makan nya ongkos kirim x lipat situ waras,negatif
top,positif
servis memuaskandriver ramah komunikatif,positif
aplikator langgan bayar mahal food gosend harga bensin mahal guna gojek aman nyaman sesuai ongkos produk barang mahal jarang kecewa semenjak argo murah driver makan isi perut jalan susah rumah ongkos murah motor rusak sewa mol,negatif
good,positif
pesan gofood gabisa dibatalin uda nunggu gak nemu nemu drivernya,netral
murah korban moga si onta denger save one pice,negatif
oke,positif
